net_pnl,max_monthly_cap,avg_monthly_cap_req,final_price,min_price,max_price
-14299.730385695122,2510.2760234671914,235.47379444838475,125901.97386753623,71441.2702669686,308693.2743166204
8711.584140635976,5151.981453287561,878.3017058358822,24970.62701493985,10198.079997908111,215470.61753040872
-23506.33024627863,5273.192715670812,385.34967769010115,565497.7369121058,29758.748630127575,773068.5268290717
-29634.523912822937,5531.772541819562,486.19958412662845,120639.32457962287,58839.345478799085,546129.1301258642
11404.862926101407,5207.927727206348,463.17999213237727,63373.10732402526,32576.287264419636,398370.6785795784
-17810.737923437155,5220.846542928884,471.3008007818841,71862.55836471687,62528.94878578039,419973.4437781405
59699.362969146896,5026.327722891467,199.05711040339048,9510.196291987366,4259.894799635088,154051.41151795187
-35876.624144840425,5599.401259170125,588.1413794236514,770657.4222132296,46912.17645267008,859352.7977461303
-2820.626370300221,547.999656711987,46.2397765622987,2404422.5697401925,86248.57498704082,2801737.270505122
-17646.884537228074,4575.572138094583,289.29319021258993,442886.5607383401,75347.73872950149,853962.8925750939
-821.0002202744926,364.5212808045135,13.459020004499886,10479596.138012618,95862.51665296304,11437316.031997738
-3452.593362208865,754.1421228596719,58.651765922554354,137822.47091786272,97321.13394191256,582142.769865944
-6915.189855851726,3023.833490898098,113.36376816708218,444756.22894064285,71206.95592027158,730065.5044774088
-39680.02101024516,4484.199335379126,650.7938282230106,215601.16984154255,46159.99363996902,320032.36755488743
-35124.35249999317,4491.683152071593,649.2111844093544,77694.84002624519,26142.071515507632,272968.67823279876
-30139.932769080406,5422.415664867069,663.0751739207624,73165.27184405338,12927.640313291557,123630.07504737651
-7058.949029524117,2850.2040310563098,115.72047589383806,1496745.2512270685,59303.54180710453,1906794.304946966
-40286.771946861045,4591.653196876447,660.4391565177868,256076.89526169107,57035.05126246254,437990.50080171955
-23460.455358414725,5011.571207291563,384.6037875170693,213062.80555269733,67294.47177532241,285432.70154850744
12218.526355593756,4320.311056674043,495.1471904756186,37532.58901449677,18348.10410625243,178226.74348824908
-7998.799851835017,3739.164871875473,131.12786714221627,445119.0259094818,73497.47626739321,1142928.9733032135
-28225.72909830934,5631.73130878526,1132.4198179858647,34143.24668767086,27525.521056818834,139444.9284968385
46735.70006944975,3019.670740386209,241.57429464728568,26549.213938566052,10121.87769046166,128727.17764359803
-727.6532644536206,364.5212808045135,11.928742040223291,5345222.467734109,94857.64059270929,6268814.30297966
-18585.877873989117,3533.2629131328067,304.6865225244118,2526964.5944927298,41047.561582894865,3632983.793174048
-46420.13244559425,4876.102548889983,763.6085820710126,126176.00917542768,32058.01276462279,299163.85444548406
-19778.453971516217,5689.668686410223,813.6483336102425,51923.30417255351,47060.509781626606,305853.47230355506
34868.93989016444,3874.0711437603823,531.2777583044668,13545.198886668504,10847.459559479274,131879.29852738936
-4541.175940394004,1593.1484876935283,74.44550721957387,1158367.9827776232,100000.0,1572697.5983272507
-25591.00918271431,5746.4184099962,419.524740721054,1073493.003784674,62612.4432011913,1153943.489798355
-28199.508702280542,4213.396588911317,462.664307496898,223735.67592252608,57546.31571625934,237191.62290293907
