date,expiry,instrument,strike,option_type,ttm_days,iv,price
2025-06-05,2025-06-27,BTC-27JUN25-95000-P,95000.000000,put,22.333333,41.300000,0.014500
2025-06-05,2025-06-27,BTC-27JUN25-97000-C,97000.000000,call,22.333333,38.950000,0.090500
2025-06-05,2025-06-27,BTC-27JUN25-97000-P,97000.000000,put,22.333333,40.980000,0.020500
2025-06-05,2025-06-27,BTC-27JUN25-100000-C,100000.000000,call,22.333333,39.110000,0.049000
2025-06-05,2025-06-27,BTC-27JUN25-100000-P,100000.000000,put,22.333333,40.630000,0.030000
2025-06-05,2025-06-27,BTC-27JUN25-101000-C,101000.000000,call,22.333333,40.650000,0.042000
2025-06-05,2025-06-27,BTC-27JUN25-101000-P,101000.000000,put,22.333333,40.530000,0.039000
2025-06-05,2025-06-27,BTC-27JUN25-102000-C,102000.000000,call,22.333333,39.360000,0.036500
2025-06-05,2025-06-27,BTC-27JUN25-102000-P,102000.000000,put,22.333333,41.370000,0.045500
2025-06-05,2025-06-27,BTC-27JUN25-105000-C,105000.000000,call,22.333333,40.720000,0.026000
2025-06-05,2025-06-27,BTC-27JUN25-105000-P,105000.000000,put,22.333333,40.850000,0.063000
2025-06-05,2025-06-27,BTC-27JUN25-107000-C,107000.000000,call,22.333333,41.280000,0.019500
2025-06-05,2025-06-27,BTC-27JUN25-107000-P,107000.000000,put,22.333333,38.960000,0.047000
2025-06-05,2025-06-27,BTC-27JUN25-108000-C,108000.000000,call,22.333333,41.390000,0.017000
2025-06-05,2025-06-27,BTC-27JUN25-108000-P,108000.000000,put,22.333333,39.580000,0.053000
2025-06-05,2025-06-27,BTC-27JUN25-109000-C,109000.000000,call,22.333333,40.650000,0.014000
2025-06-05,2025-06-27,BTC-27JUN25-110000-C,110000.000000,call,22.333333,42.350000,0.013000
2025-06-05,2025-06-27,BTC-27JUN25-110000-P,110000.000000,put,22.333333,40.140000,0.077500
2025-06-05,2025-06-27,BTC-27JUN25-112000-C,112000.000000,call,22.333333,42.710000,0.009500
2025-06-05,2025-06-27,BTC-27JUN25-112000-P,112000.000000,put,22.333333,41.190000,0.100000
2025-06-05,2025-06-27,BTC-27JUN25-115000-C,115000.000000,call,22.333333,43.700000,0.006500
2025-06-05,2025-06-27,BTC-27JUN25-115000-P,115000.000000,put,22.333333,39.860000,0.116000
